country,year,population,real_gdp,real_gdp_pc,le,hle,vsl,wtp_s,wtp_h,wtp,wtp_pc
Canada,2012,34.3,1469.0,42.802,81.84,70.45,7.532,0.426,0.059,0.485,14.126
Canada,2013,34.7,1503.2,43.349,81.95,70.53,7.628,0.085,0.016,0.101,2.904
Canada,2014,35.0,1546.3,44.153,81.99,70.56,7.77,0.4,-0.034,0.367,10.466
Canada,2015,35.4,1556.5,44.025,82.1,70.62,7.747,0.179,-0.548,-0.369,-10.444
Canada,2016,35.7,1572.1,44.068,82.13,70.54,7.755,0.197,-0.564,-0.367,-10.297
Canada,2017,36.0,1619.9,45.027,82.21,70.48,7.924,-0.746,-0.201,-0.947,-26.328
Canada,2018,36.3,1659.2,45.764,82.04,70.36,8.053,-0.107,-0.199,-0.307,-8.459
Canada,2019,36.5,1690.1,46.28,82.03,70.33,8.144,0.0,0.0,0.0,0.0
Chile,1990,13.3,72.6,5.468,73.01,63.63,0.962,0.132,0.004,0.136,10.244
Chile,1991,13.5,78.3,5.804,73.77,64.24,1.021,0.121,0.004,0.124,9.206
Chile,1992,13.7,87.0,6.357,74.35,64.7,1.119,0.028,0.001,0.029,2.149
Chile,1993,13.9,92.8,6.678,74.59,64.89,1.175,0.044,0.001,0.045,3.256
Chile,1994,14.1,97.4,6.918,74.9,65.13,1.217,-0.0,0.003,0.002,0.159
Chile,1995,14.3,106.1,7.437,74.96,65.19,1.309,0.056,-0.002,0.054,3.814
Chile,1996,14.5,113.4,7.844,75.17,65.36,1.38,0.129,-0.005,0.124,8.554
Chile,1997,14.6,121.8,8.325,75.66,65.72,1.465,0.086,-0.007,0.078,5.358
Chile,1998,14.8,127.0,8.584,75.86,65.87,1.511,0.07,-0.008,0.061,4.153
Chile,1999,15.0,126.5,8.453,76.12,66.05,1.487,0.141,-0.003,0.138,9.196
Chile,2000,15.1,133.3,8.806,76.63,66.44,1.55,0.013,-0.008,0.005,0.346
Chile,2001,15.3,137.7,9.0,76.71,66.48,1.584,0.112,-0.009,0.103,6.738
Chile,2002,15.5,141.9,9.186,77.11,66.78,1.617,0.027,-0.014,0.013,0.837
Chile,2003,15.6,147.7,9.47,77.18,66.82,1.666,0.063,-0.007,0.056,3.611
Chile,2004,15.7,158.4,10.059,77.28,66.88,1.77,0.127,0.002,0.129,8.172
Chile,2005,15.9,167.5,10.541,77.62,67.14,1.855,0.126,0.022,0.148,9.304
Chile,2006,16.0,178.1,11.104,77.94,67.4,1.954,0.079,0.044,0.123,7.674
Chile,2007,16.2,186.8,11.539,78.11,67.59,2.031,0.157,0.055,0.211,13.049
Chile,2008,16.3,193.4,11.831,78.46,67.92,2.082,-0.039,0.043,0.004,0.258
Chile,2009,16.5,190.4,11.533,78.37,67.9,2.029,-0.019,0.02,0.001,0.041
Chile,2010,16.7,201.5,12.092,78.37,67.93,2.128,0.17,0.003,0.173,10.354
Chile,2011,16.8,213.8,12.715,78.72,68.21,2.238,0.099,-0.006,0.094,5.578
Chile,2012,17.0,225.2,13.275,78.93,68.36,2.336,0.063,-0.009,0.054,3.161
Chile,2013,17.1,234.3,13.694,79.08,68.47,2.41,0.124,-0.007,0.117,6.856
Chile,2014,17.3,238.4,13.814,79.25,68.59,2.431,0.071,-0.005,0.066,3.846
Chile,2015,17.4,243.9,13.995,79.42,68.71,2.463,0.196,-0.004,0.193,11.057
Chile,2016,17.7,248.1,14.049,79.77,68.96,2.472,-0.021,-0.011,-0.032,-1.824
Chile,2017,17.9,251.0,14.016,79.8,68.98,2.467,0.034,-0.021,0.013,0.752
Chile,2018,18.1,260.4,14.399,79.88,69.03,2.534,0.04,-0.038,0.003,0.147
Chile,2019,18.2,262.8,14.441,79.97,69.07,2.541,0.0,0.0,0.0,0.0
China,1990,1183.7,1027.4,0.868,66.77,59.3,0.153,0.72,0.336,1.056,0.893
China,1991,1198.5,1122.5,0.937,67.03,59.56,0.165,0.879,0.362,1.241,1.035
China,1992,1212.6,1282.2,1.057,67.37,59.89,0.186,0.966,0.356,1.322,1.09
China,1993,1225.8,1460.2,1.191,67.73,60.23,0.21,1.198,0.319,1.518,1.238
China,1994,1238.3,1650.6,1.333,68.1,60.56,0.235,1.342,0.255,1.597,1.29
China,1995,1250.0,1831.4,1.465,68.5,60.91,0.258,1.476,0.138,1.614,1.291
China,1996,1261.2,2013.1,1.596,68.91,61.26,0.281,1.986,0.176,2.163,1.715
China,1997,1271.8,2199.1,1.729,69.4,61.68,0.304,1.516,0.18,1.696,1.334
China,1998,1281.9,2371.6,1.85,69.81,62.03,0.326,0.824,0.187,1.012,0.789
China,1999,1291.5,2553.3,1.977,70.14,62.33,0.348,0.063,0.205,0.268,0.207
China,2000,1300.5,2770.1,2.13,70.39,62.57,0.375,1.535,0.163,1.698,1.305
China,2001,1308.8,3001.0,2.293,70.83,62.96,0.404,0.996,0.103,1.099,0.84
China,2002,1316.4,3275.1,2.488,71.24,63.32,0.438,0.942,0.014,0.956,0.726
China,2003,1323.5,3603.9,2.723,71.63,63.67,0.479,0.515,0.077,0.592,0.448
China,2004,1330.0,3968.4,2.984,71.89,63.91,0.525,3.574,0.184,3.758,2.825
China,2005,1336.0,4420.5,3.309,72.39,64.32,0.582,7.371,0.576,7.947,5.948
China,2006,1341.9,4982.9,3.713,73.12,64.93,0.653,5.797,1.04,6.837,5.095
China,2007,1347.8,5692.0,4.223,73.69,65.42,0.743,1.591,1.162,2.753,2.042
China,2008,1353.6,6241.3,4.611,73.85,65.59,0.811,4.82,1.19,6.01,4.44
China,2009,1359.2,6827.9,5.023,74.28,65.99,0.884,2.387,0.534,2.921,2.149
China,2010,1364.5,7554.1,5.536,74.54,66.24,0.974,5.639,0.044,5.683,4.164
China,2011,1369.8,8275.6,6.041,74.93,66.55,1.063,8.043,-0.05,7.993,5.835
China,2012,1375.7,8926.3,6.489,75.39,66.9,1.142,7.853,-0.137,7.716,5.609
China,2013,1381.9,9619.6,6.961,75.81,67.23,1.225,7.43,-0.254,7.176,5.193
China,2014,1387.9,10333.9,7.446,76.17,67.49,1.31,7.708,-0.261,7.447,5.366
China,2015,1394.6,11061.6,7.932,76.49,67.73,1.396,4.833,-1.083,3.749,2.689
China,2016,1402.9,11819.1,8.425,76.74,67.9,1.483,6.455,-1.215,5.239,3.735
China,2017,1410.8,12640.2,8.96,77.05,68.11,1.577,5.986,-0.958,5.029,3.564
China,2018,1417.1,13493.4,9.522,77.27,68.26,1.676,4.019,-1.302,2.717,1.917
China,2019,1422.4,14296.2,10.051,77.43,68.36,1.769,0.0,0.0,0.0,0.0
Czechia,1990,10.3,120.1,11.667,71.31,62.51,2.053,0.212,0.004,0.216,20.978
Czechia,1991,10.3,106.2,10.313,71.84,62.91,1.815,0.103,0.004,0.107,10.438
Czechia,1992,10.3,105.6,10.26,72.2,63.19,1.806,0.168,0.004,0.172,16.688
Czechia,1993,10.3,105.7,10.266,72.79,63.66,1.807,0.071,0.004,0.075,7.245
Czechia,1994,10.3,108.8,10.57,73.05,63.87,1.86,0.028,0.005,0.032,3.149
Czechia,1995,10.3,115.9,11.272,73.22,64.01,1.984,0.186,0.014,0.2,19.49
Czechia,1996,10.3,120.8,11.769,73.86,64.53,2.071,0.032,0.02,0.051,4.995
Czechia,1997,10.3,120.2,11.721,73.99,64.66,2.063,0.198,0.024,0.221,21.602
Czechia,1998,10.2,119.8,11.687,74.63,65.18,2.057,0.084,0.019,0.103,10.068
Czechia,1999,10.2,121.4,11.853,74.92,65.44,2.086,0.058,0.01,0.068,6.616
Czechia,2000,10.2,126.3,12.329,75.12,65.6,2.17,0.098,-0.003,0.095,9.295
Czechia,2001,10.2,130.1,12.701,75.4,65.81,2.235,0.083,-0.022,0.061,5.93
Czechia,2002,10.2,132.2,12.894,75.61,65.93,2.269,-0.045,-0.029,-0.074,-7.228
Czechia,2003,10.3,136.9,13.345,75.53,65.83,2.348,0.211,-0.022,0.189,18.395
Czechia,2004,10.3,143.5,13.969,76.07,66.19,2.458,0.103,-0.011,0.091,8.88
Czechia,2005,10.3,152.9,14.861,76.35,66.38,2.615,0.232,0.003,0.235,22.873
Czechia,2006,10.3,163.3,15.823,76.88,66.77,2.784,0.11,0.005,0.116,11.221
Czechia,2007,10.4,172.4,16.644,77.13,66.95,2.929,0.067,0.005,0.073,7.032
Czechia,2008,10.4,177.0,17.023,77.3,67.08,2.996,0.129,0.003,0.132,12.728
Czechia,2009,10.4,168.8,16.168,77.57,67.28,2.845,0.102,-0.004,0.098,9.37
Czechia,2010,10.5,172.9,16.508,77.81,67.44,2.905,0.09,-0.014,0.076,7.26
Czechia,2011,10.5,175.9,16.756,78.01,67.58,2.949,0.114,-0.019,0.095,9.017
Czechia,2012,10.5,174.6,16.591,78.26,67.74,2.92,0.11,-0.021,0.089,8.421
Czechia,2013,10.5,174.5,16.553,78.51,67.9,2.913,0.186,-0.019,0.168,15.895
Czechia,2014,10.6,178.4,16.896,78.9,68.17,2.973,0.022,-0.017,0.005,0.449
Czechia,2015,10.6,188.0,17.772,78.96,68.19,3.127,0.096,-0.021,0.075,7.076
Czechia,2016,10.6,192.8,18.189,79.11,68.26,3.201,0.057,-0.02,0.037,3.532
Czechia,2017,10.6,202.8,19.096,79.23,68.31,3.36,-0.012,0.009,-0.003,-0.302
Czechia,2018,10.6,209.3,19.678,79.26,68.36,3.463,0.083,0.043,0.126,11.882
Czechia,2019,10.6,215.6,20.256,79.42,68.55,3.565,0.0,0.0,0.0,0.0
Denmark,1990,5.1,202.0,39.27,75.03,65.08,6.911,0.096,0.003,0.099,19.25
Denmark,1991,5.2,204.8,39.73,75.23,65.24,6.992,-0.0,0.001,0.001,0.238
Denmark,1992,5.2,208.8,40.396,75.32,65.32,7.109,-0.015,-0.0,-0.015,-2.936
Denmark,1993,5.2,208.9,40.268,75.41,65.41,7.086,-0.037,-0.002,-0.039,-7.518
Denmark,1994,5.2,220.0,42.258,75.36,65.37,7.437,0.052,0.006,0.057,10.993
Denmark,1995,5.2,226.7,43.363,75.49,65.49,7.631,0.198,0.001,0.199,38.009
Denmark,1996,5.2,233.2,44.429,75.8,65.72,7.819,0.229,0.007,0.235,44.844
Denmark,1997,5.3,240.8,45.679,76.18,66.01,8.039,0.246,0.012,0.258,48.895
Denmark,1998,5.3,246.2,46.493,76.57,66.31,8.182,0.015,0.004,0.019,3.625
Denmark,1999,5.3,253.4,47.67,76.61,66.33,8.389,0.327,0.019,0.346,65.093
Denmark,2000,5.3,262.9,49.269,77.06,66.69,8.67,0.076,0.017,0.093,17.478
Denmark,2001,5.4,265.1,49.502,77.19,66.81,8.711,0.074,0.029,0.102,19.083
Denmark,2002,5.4,266.3,49.581,77.31,66.93,8.725,0.19,0.033,0.223,41.534
Denmark,2003,5.4,267.4,49.632,77.57,67.15,8.734,0.227,0.037,0.265,49.172
Denmark,2004,5.4,274.5,50.807,77.89,67.41,8.941,0.251,0.031,0.282,52.222
Denmark,2005,5.4,280.9,51.829,78.25,67.7,9.121,0.108,0.015,0.123,22.737
Denmark,2006,5.4,291.9,53.667,78.44,67.86,9.444,0.138,0.014,0.152,27.925
Denmark,2007,5.5,294.6,53.943,78.59,67.98,9.493,0.227,0.022,0.249,45.513
Denmark,2008,5.5,293.1,53.433,78.88,68.21,9.403,0.148,0.015,0.163,29.734
Denmark,2009,5.5,278.7,50.578,79.14,68.43,8.901,0.215,0.017,0.232,42.097
Denmark,2010,5.5,283.9,51.289,79.45,68.67,9.026,0.312,0.019,0.332,59.91
Denmark,2011,5.6,287.7,51.74,79.87,69.0,9.105,0.221,0.008,0.229,41.123
Denmark,2012,5.6,288.3,51.624,80.17,69.24,9.085,0.195,0.004,0.199,35.689
Denmark,2013,5.6,291.0,51.861,80.43,69.43,9.126,0.223,0.009,0.232,41.296
Denmark,2014,5.6,295.7,52.429,80.69,69.63,9.226,0.14,0.012,0.153,27.075
Denmark,2015,5.7,302.7,53.349,80.89,69.79,9.388,0.022,0.012,0.035,6.1
Denmark,2016,5.7,312.5,54.748,80.93,69.83,9.634,0.022,0.001,0.023,4.09
Denmark,2017,5.7,321.3,55.96,80.97,69.85,9.848,0.023,-0.025,-0.001,-0.24
Denmark,2018,5.8,327.7,56.761,81.0,69.86,9.989,0.03,-0.059,-0.028,-4.928
Denmark,2019,5.8,334.6,57.669,81.05,69.85,10.148,0.0,0.0,0.0,0.0
European Union,1990,478.8,9047.2,18.895,74.74,64.89,3.325,2.53,0.389,2.919,6.096
European Union,1991,480.0,9215.4,19.2,74.89,65.02,3.379,4.313,0.453,4.765,9.929
European Union,1992,481.1,9322.3,19.378,75.12,65.21,3.41,3.291,0.39,3.681,7.652
European Union,1993,482.0,9268.8,19.228,75.31,65.37,3.384,4.597,0.408,5.005,10.384
European Union,1994,482.8,9514.6,19.706,75.51,65.53,3.468,3.15,0.554,3.704,7.671
European Union,1995,483.6,9767.9,20.2,75.71,65.7,3.555,6.346,0.245,6.591,13.63
European Union,1996,484.3,9951.6,20.548,75.99,65.92,3.616,6.604,0.411,7.015,14.485
European Union,1997,485.1,10215.6,21.058,76.28,66.16,3.706,5.961,0.391,6.352,13.093
European Union,1998,486.1,10523.2,21.65,76.54,66.37,3.81,6.487,0.438,6.925,14.248
European Union,1999,487.2,10833.4,22.238,76.81,66.59,3.913,10.518,0.573,11.092,22.768
European Union,2000,488.5,11255.9,23.041,77.19,66.88,4.055,7.421,0.412,7.833,16.035
European Union,2001,490.1,11500.7,23.466,77.46,67.1,4.13,4.802,0.342,5.145,10.498
European Union,2002,491.8,11628.3,23.646,77.65,67.25,4.161,4.819,0.068,4.887,9.938
European Union,2003,493.5,11733.9,23.775,77.84,67.4,4.184,12.152,0.529,12.682,25.696
European Union,2004,495.4,12038.0,24.297,78.24,67.71,4.276,6.946,0.457,7.403,14.943
