country,year,population,real_gdp,real_gdp_pc,vsl,le,hle,wtp_s,wtp_h,wtp,wtp_pc
Argentina,2014,43.0,578.9,13.467,2.37,75.89,66.24,-0.067,-0.012,-0.079,-1.838
Argentina,2015,43.5,594.7,13.684,2.408,75.98,66.32,-0.434,-0.012,-0.446,-10.26
Argentina,2016,43.9,582.4,13.259,2.333,75.74,66.15,0.007,-0.019,-0.011,-0.259
Argentina,2017,44.4,598.8,13.5,2.376,75.78,66.17,0.29,-0.044,0.247,5.561
Argentina,2018,44.7,583.1,13.033,2.293,75.99,66.31,0.106,-0.067,0.039,0.882
Argentina,2019,45.1,571.3,12.663,2.228,76.1,66.37,0.0,0.0,0.0,0.0
Australia,1990,16.9,631.0,37.424,6.586,76.61,65.73,0.576,0.092,0.668,39.635
Australia,1991,17.1,628.5,36.775,6.472,77.09,66.12,0.257,0.067,0.323,18.923
Australia,1992,17.3,631.1,36.467,6.417,77.28,66.29,0.42,0.048,0.468,27.06
Australia,1993,17.5,656.5,37.496,6.598,77.63,66.57,0.129,0.011,0.14,8.01
Australia,1994,17.7,682.7,38.564,6.786,77.73,66.65,0.477,-0.003,0.474,26.793
Australia,1995,17.9,708.8,39.624,6.973,78.02,66.86,0.316,-0.058,0.258,14.44
Australia,1996,18.1,736.2,40.724,7.167,78.2,66.97,0.55,-0.08,0.469,25.953
Australia,1997,18.3,764.9,41.872,7.369,78.51,67.18,0.592,-0.095,0.498,27.256
Australia,1998,18.5,800.2,43.336,7.626,78.83,67.38,0.631,-0.087,0.545,29.488
Australia,1999,18.7,839.7,44.974,7.914,79.12,67.56,0.579,-0.068,0.512,27.413
Australia,2000,18.9,872.6,46.204,8.131,79.46,67.79,0.616,-0.034,0.582,30.818
Australia,2001,19.1,890.4,46.601,8.201,79.8,68.03,0.392,-0.033,0.359,18.766
Australia,2002,19.3,926.1,47.897,8.429,80.01,68.19,0.668,-0.012,0.656,33.927
Australia,2003,19.6,954.9,48.785,8.585,80.33,68.42,0.693,-0.024,0.669,34.164
Australia,2004,19.8,995.1,50.201,8.834,80.66,68.64,0.737,-0.007,0.731,36.854
Australia,2005,20.1,1026.5,51.117,8.995,80.97,68.85,0.519,-0.002,0.518,25.775
Australia,2006,20.4,1054.5,51.794,9.115,81.21,69.03,0.113,-0.015,0.098,4.793
Australia,2007,20.7,1094.3,52.976,9.323,81.29,69.09,0.239,0.006,0.244,11.837
Australia,2008,21.0,1133.4,54.068,9.515,81.41,69.19,0.561,0.013,0.575,27.426
Australia,2009,21.3,1154.6,54.267,9.55,81.62,69.34,0.582,0.017,0.599,28.145
Australia,2010,21.6,1179.6,54.624,9.613,81.87,69.52,0.35,0.074,0.424,19.65
Australia,2011,21.9,1208.8,55.131,9.702,82.04,69.66,0.653,0.182,0.835,38.083
Australia,2012,22.3,1256.1,56.416,9.928,82.33,69.91,0.41,0.206,0.616,27.682
Australia,2013,22.6,1288.8,57.007,10.032,82.49,70.06,-0.002,0.159,0.158,6.974
Australia,2014,22.9,1321.8,57.61,10.138,82.51,70.12,0.04,0.062,0.103,4.481
Australia,2015,23.3,1350.5,58.014,10.209,82.52,70.14,0.6,-0.238,0.362,15.549
Australia,2016,23.6,1387.6,58.757,10.34,82.74,70.24,0.125,-0.277,-0.152,-6.441
Australia,2017,23.9,1419.4,59.282,10.432,82.8,70.22,-0.356,-0.023,-0.378,-15.792
Australia,2018,24.3,1460.2,60.187,10.592,82.71,70.15,-0.05,0.07,0.019,0.801
Australia,2019,24.6,1491.0,60.689,10.68,82.71,70.16,0.0,0.0,0.0,0.0
Bangladesh,1990,109.1,52.8,0.484,0.085,54.48,47.48,-0.342,-0.055,-0.397,-3.642
Bangladesh,1991,111.5,54.7,0.491,0.086,53.25,46.4,0.663,0.071,0.734,6.59
Bangladesh,1992,113.7,57.7,0.507,0.089,56.61,49.25,0.109,0.027,0.137,1.202
Bangladesh,1993,115.8,60.4,0.521,0.092,57.47,50.01,0.108,0.025,0.133,1.146
Bangladesh,1994,117.7,62.7,0.533,0.094,58.28,50.72,0.042,0.02,0.063,0.531
Bangladesh,1995,119.6,65.9,0.551,0.097,58.81,51.2,0.138,0.018,0.156,1.302
Bangladesh,1996,121.4,68.9,0.568,0.1,59.74,51.98,0.123,0.022,0.145,1.194
Bangladesh,1997,123.1,72.0,0.585,0.103,60.58,52.7,0.107,0.021,0.127,1.034
Bangladesh,1998,124.7,75.7,0.607,0.107,61.35,53.37,0.094,0.023,0.116,0.933
Bangladesh,1999,126.3,79.3,0.628,0.11,62.04,53.98,0.038,0.02,0.057,0.452
Bangladesh,2000,127.9,83.5,0.653,0.115,62.5,54.4,0.082,0.016,0.099,0.772
Bangladesh,2001,129.5,87.7,0.677,0.119,63.09,54.91,0.044,0.015,0.059,0.456
Bangladesh,2002,131.1,91.1,0.694,0.122,63.52,55.29,0.039,0.011,0.05,0.378
Bangladesh,2003,132.8,95.4,0.718,0.126,63.94,55.66,0.078,0.014,0.092,0.695
Bangladesh,2004,134.5,100.4,0.746,0.131,64.48,56.13,0.04,0.016,0.056,0.415
Bangladesh,2005,136.2,106.9,0.785,0.138,64.91,56.51,0.048,0.029,0.077,0.565
Bangladesh,2006,137.9,114.1,0.827,0.146,65.36,56.92,0.089,0.039,0.128,0.93
Bangladesh,2007,139.6,122.1,0.875,0.154,65.88,57.39,0.203,0.047,0.25,1.794
Bangladesh,2008,141.3,129.5,0.917,0.161,66.71,58.1,0.153,0.038,0.19,1.346
Bangladesh,2009,142.9,136.0,0.951,0.167,67.39,58.69,0.109,0.02,0.13,0.909
Bangladesh,2010,144.6,143.6,0.993,0.175,67.93,59.15,0.371,0.001,0.372,2.575
Bangladesh,2011,146.3,152.9,1.045,0.184,69.07,60.02,0.365,-0.008,0.357,2.44
Bangladesh,2012,148.0,162.8,1.1,0.194,70.27,60.93,0.159,-0.009,0.15,1.015
Bangladesh,2013,149.7,172.6,1.153,0.203,70.93,61.46,0.038,-0.01,0.028,0.188
Bangladesh,2014,151.4,183.1,1.21,0.213,71.27,61.76,0.176,-0.002,0.174,1.147
Bangladesh,2015,153.0,195.1,1.275,0.224,71.91,62.27,0.085,0.022,0.107,0.7
Bangladesh,2016,154.7,209.0,1.351,0.238,72.31,62.63,-0.088,0.022,-0.066,-0.427
Bangladesh,2017,156.2,224.2,1.435,0.253,72.41,62.78,0.1,-0.022,0.078,0.498
Bangladesh,2018,157.8,241.8,1.533,0.27,72.84,63.11,0.101,-0.075,0.026,0.164
Bangladesh,2019,159.3,261.5,1.642,0.289,73.23,63.37,0.0,0.0,0.0,0.0
Brazil,1990,148.8,917.2,6.163,1.084,64.31,55.41,1.099,0.249,1.349,9.061
Brazil,1991,151.4,926.7,6.122,1.077,65.06,56.06,0.501,0.221,0.722,4.771
Brazil,1992,153.9,921.6,5.988,1.054,65.6,56.55,-0.281,0.187,-0.094,-0.61
Brazil,1993,156.5,967.0,6.181,1.088,65.81,56.79,0.535,0.164,0.698,4.464
Brazil,1994,159.0,1023.6,6.439,1.133,66.3,57.21,0.539,0.144,0.683,4.297
Brazil,1995,161.5,1066.9,6.605,1.162,66.75,57.6,0.528,0.014,0.542,3.358
Brazil,1996,164.1,1090.4,6.647,1.17,67.19,57.97,1.185,-0.11,1.075,6.554
Brazil,1997,166.6,1127.4,6.767,1.191,67.82,58.45,0.477,-0.187,0.29,1.739
Brazil,1998,169.2,1131.3,6.688,1.177,68.21,58.73,0.753,-0.181,0.573,3.386
Brazil,1999,171.7,1136.5,6.619,1.165,68.65,59.06,0.792,-0.095,0.697,4.057
Brazil,2000,174.2,1186.4,6.809,1.198,69.1,59.4,0.641,-0.089,0.553,3.171
Brazil,2001,176.8,1202.9,6.806,1.198,69.47,59.68,0.544,-0.182,0.361,2.044
Brazil,2002,179.2,1239.6,6.917,1.217,69.79,59.91,0.526,-0.209,0.317,1.769
Brazil,2003,181.7,1253.8,6.901,1.214,70.11,60.14,0.589,-0.135,0.454,2.502
Brazil,2004,184.1,1326.0,7.203,1.267,70.45,60.39,1.433,0.005,1.439,7.814
Brazil,2005,186.5,1368.5,7.337,1.291,71.0,60.82,0.596,0.251,0.847,4.54
Brazil,2006,188.9,1422.7,7.531,1.325,71.32,61.11,0.641,0.482,1.123,5.944
Brazil,2007,191.3,1509.0,7.888,1.388,71.63,61.43,0.44,0.583,1.023,5.349
Brazil,2008,193.7,1585.9,8.188,1.441,71.89,61.73,0.343,0.523,0.866,4.474
Brazil,2009,196.0,1583.9,8.08,1.422,72.12,61.99,0.407,0.267,0.675,3.441
Brazil,2010,198.3,1703.2,8.587,1.511,72.37,62.23,0.429,0.075,0.504,2.541
Brazil,2011,200.6,1770.8,8.828,1.554,72.6,62.43,1.165,0.052,1.217,6.068
Brazil,2012,202.8,1804.9,8.899,1.566,73.0,62.75,0.643,0.014,0.657,3.24
Brazil,2013,205.0,1859.1,9.069,1.596,73.28,62.99,0.904,-0.005,0.899,4.387
Brazil,2014,207.1,1868.5,9.022,1.588,73.63,63.27,0.483,-0.016,0.467,2.255
Brazil,2015,209.2,1802.2,8.616,1.516,73.88,63.48,-0.197,-0.13,-0.326,-1.559
Brazil,2016,211.2,1743.2,8.254,1.453,73.96,63.52,1.526,-0.096,1.43,6.771
Brazil,2017,213.1,1766.2,8.288,1.459,74.39,63.84,0.735,0.348,1.083,5.083
Brazil,2018,214.9,1797.7,8.365,1.472,74.67,64.1,0.403,0.794,1.198,5.573
Brazil,2019,216.7,1823.1,8.414,1.481,74.87,64.36,0.0,0.0,0.0,0.0
Canada,1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Canada,1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Canada,1992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Canada,1993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Canada,1994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Canada,1995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Canada,1996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Canada,1997,29.6,933.7,31.569,5.555,78.37,68.12,0.422,-0.016,0.405,13.694
Canada,1998,29.8,959.9,32.186,5.664,78.58,68.28,0.572,-0.017,0.555,18.614
Canada,1999,30.1,998.0,33.198,5.842,78.83,68.46,0.682,-0.01,0.672,22.361
Canada,2000,30.3,1047.0,34.553,6.08,79.11,68.66,0.633,0.01,0.642,21.197
Canada,2001,30.6,1061.8,34.747,6.115,79.35,68.83,0.469,0.029,0.498,16.298
Canada,2002,30.8,1098.1,35.62,6.268,79.52,68.96,0.511,0.017,0.528,17.125
Canada,2003,31.1,1139.9,36.635,6.447,79.71,69.09,0.722,0.032,0.754,24.24
Canada,2004,31.4,1184.6,37.699,6.634,79.97,69.28,0.615,-0.009,0.605,19.257
Canada,2005,31.7,1243.7,39.181,6.895,80.15,69.4,0.875,-0.076,0.799,25.167
Canada,2006,32.1,1295.6,40.376,7.105,80.46,69.6,0.463,-0.18,0.283,8.813
Canada,2007,32.4,1384.5,42.668,7.509,80.61,69.67,0.659,-0.214,0.444,13.695
Canada,2008,32.8,1398.5,42.605,7.498,80.83,69.78,0.871,-0.178,0.693,21.116
Canada,2009,33.2,1357.5,40.885,7.195,81.11,69.94,0.787,-0.097,0.69,20.779
Canada,2010,33.6,1399.5,41.674,7.334,81.36,70.1,0.756,-0.014,0.742,22.107
Canada,2011,34.0,1443.5,42.513,7.481,81.62,70.27,0.382,0.022,0.403,11.88
Canada,2012,34.3,1469.0,42.802,7.532,81.73,70.35,0.415,0.06,0.474,13.822
Canada,2013,34.7,1503.2,43.349,7.628,81.84,70.44,0.085,0.018,0.103,2.966
Canada,2014,35.0,1546.3,44.153,7.77,81.88,70.47,0.395,-0.031,0.364,10.397
Canada,2015,35.4,1556.5,44.025,7.747,81.99,70.54,0.18,-0.523,-0.343,-9.708
Canada,2016,35.7,1572.1,44.068,7.755,82.03,70.45,0.192,-0.539,-0.348,-9.751
Canada,2017,36.0,1619.9,45.027,7.924,82.11,70.4,-0.735,-0.197,-0.931,-25.891
Canada,2018,36.3,1659.2,45.764,8.053,81.95,70.28,-0.107,-0.197,-0.305,-8.406
Canada,2019,36.5,1690.1,46.28,8.144,81.94,70.25,0.0,0.0,0.0,0.0
Chile,1990,13.3,72.6,5.468,0.962,72.67,63.34,0.124,0.003,0.127,9.594
Chile,1991,13.5,78.3,5.804,1.021,73.47,63.98,0.112,0.003,0.115,8.55
Chile,1992,13.7,87.0,6.357,1.119,74.05,64.44,0.027,0.001,0.028,2.032
Chile,1993,13.9,92.8,6.678,1.175,74.31,64.65,0.041,0.001,0.042,3.046
Chile,1994,14.1,97.4,6.918,1.217,74.64,64.91,-0.0,0.002,0.002,0.145
Chile,1995,14.3,106.1,7.437,1.309,74.71,64.98,0.053,-0.002,0.051,3.597
Chile,1996,14.5,113.4,7.844,1.38,74.93,65.15,0.122,-0.005,0.117,8.113
Chile,1997,14.6,121.8,8.325,1.465,75.43,65.53,0.08,-0.007,0.073,5.017
Chile,1998,14.8,127.0,8.584,1.511,75.62,65.66,0.065,-0.008,0.058,3.897
Chile,1999,15.0,126.5,8.453,1.487,75.89,65.86,0.135,-0.003,0.132,8.8
Chile,2000,15.1,133.3,8.806,1.55,76.41,66.26,0.013,-0.007,0.006,0.386
Chile,2001,15.3,137.7,9.0,1.584,76.51,66.31,0.106,-0.008,0.098,6.423
Chile,2002,15.5,141.9,9.186,1.617,76.93,66.63,0.025,-0.013,0.012,0.77
Chile,2003,15.6,147.7,9.47,1.666,76.99,66.66,0.06,-0.006,0.054,3.462
Chile,2004,15.7,158.4,10.059,1.77,77.08,66.71,0.122,0.002,0.124,7.851
Chile,2005,15.9,167.5,10.541,1.855,77.43,66.98,0.121,0.02,0.142,8.932
Chile,2006,16.0,178.1,11.104,1.954,77.75,67.25,0.076,0.041,0.118,7.349
Chile,2007,16.2,186.8,11.539,2.031,77.93,67.44,0.152,0.052,0.204,12.59
Chile,2008,16.3,193.4,11.831,2.082,78.28,67.76,-0.038,0.041,0.003,0.196
Chile,2009,16.5,190.4,11.533,2.029,78.19,67.74,-0.018,0.018,0.0,0.019
Chile,2010,16.7,201.5,12.092,2.128,78.2,67.79,0.162,0.002,0.164,9.829
Chile,2011,16.8,213.8,12.715,2.238,78.55,68.06,0.095,-0.006,0.089,5.319
Chile,2012,17.0,225.2,13.275,2.336,78.76,68.22,0.061,-0.009,0.052,3.039
Chile,2013,17.1,234.3,13.694,2.41,78.92,68.33,0.12,-0.007,0.113,6.627
Chile,2014,17.3,238.4,13.814,2.431,79.09,68.45,0.07,-0.004,0.065,3.77
Chile,2015,17.4,243.9,13.995,2.463,79.26,68.58,0.189,-0.003,0.186,10.655
Chile,2016,17.7,248.1,14.049,2.472,79.61,68.83,-0.021,-0.01,-0.032,-1.79
Chile,2017,17.9,251.0,14.016,2.467,79.65,68.86,0.032,-0.02,0.012,0.694
Chile,2018,18.1,260.4,14.399,2.534,79.75,68.91,0.039,-0.037,0.002,0.117
Chile,2019,18.2,262.8,14.441,2.541,79.84,68.96,0.0,0.0,0.0,0.0
China,1990,1183.7,1027.4,0.868,0.153,65.97,58.59,0.644,0.303,0.947,0.8
China,1991,1198.5,1122.5,0.937,0.165,66.22,58.85,0.787,0.326,1.113,0.928
China,1992,1212.6,1282.2,1.057,0.186,66.58,59.19,0.874,0.321,1.195,0.986
China,1993,1225.8,1460.2,1.191,0.21,66.96,59.55,1.146,0.288,1.433,1.169
China,1994,1238.3,1650.6,1.333,0.235,67.35,59.9,1.275,0.228,1.503,1.214
China,1995,1250.0,1831.4,1.465,0.258,67.78,60.27,1.378,0.118,1.496,1.197
China,1996,1261.2,2013.1,1.596,0.281,68.21,60.64,1.857,0.151,2.009,1.593
China,1997,1271.8,2199.1,1.729,0.304,68.73,61.09,1.426,0.154,1.58,1.243
China,1998,1281.9,2371.6,1.85,0.326,69.17,61.46,0.738,0.162,0.901,0.703
China,1999,1291.5,2553.3,1.977,0.348,69.53,61.79,0.001,0.183,0.184,0.142
China,2000,1300.5,2770.1,2.13,0.375,69.81,62.06,1.414,0.143,1.557,1.197
China,2001,1308.8,3001.0,2.293,0.404,70.29,62.49,0.869,0.082,0.951,0.727
China,2002,1316.4,3275.1,2.488,0.438,70.74,62.88,0.828,-0.004,0.824,0.626
China,2003,1323.5,3603.9,2.723,0.479,71.17,63.26,0.453,0.059,0.512,0.387
China,2004,1330.0,3968.4,2.984,0.525,71.47,63.53,3.423,0.167,3.59,2.699
China,2005,1336.0,4420.5,3.309,0.582,71.99,63.97,7.125,0.545,7.67,5.741
China,2006,1341.9,4982.9,3.713,0.653,72.75,64.6,5.611,0.986,6.597,4.916
China,2007,1347.8,5692.0,4.223,0.743,73.34,65.12,1.635,1.106,2.741,2.034
China,2008,1353.6,6241.3,4.611,0.811,73.53,65.31,4.6,1.13,5.731,4.234
China,2009,1359.2,6827.9,5.023,0.884,73.98,65.73,2.293,0.51,2.803,2.062
China,2010,1364.5,7554.1,5.536,0.974,74.27,66.0,5.424,0.046,5.471,4.009
China,2011,1369.8,8275.6,6.041,1.063,74.67,66.32,7.785,-0.039,7.746,5.655
China,2012,1375.7,8926.3,6.489,1.142,75.15,66.69,7.633,-0.121,7.512,5.461
China,2013,1381.9,9619.6,6.961,1.225,75.6,67.04,7.229,-0.234,6.995,5.062
China,2014,1387.9,10333.9,7.446,1.31,75.97,67.32,7.477,-0.245,7.232,5.211
China,2015,1394.6,11061.6,7.932,1.396,76.3,67.56,4.688,-1.032,3.656,2.622
China,2016,1402.9,11819.1,8.425,1.483,76.56,67.74,6.284,-1.158,5.127,3.654
China,2017,1410.8,12640.2,8.96,1.577,76.89,67.97,5.818,-0.916,4.902,3.475
China,2018,1417.1,13493.4,9.522,1.676,77.12,68.12,3.875,-1.245,2.631,1.856
China,2019,1422.4,14296.2,10.051,1.769,77.29,68.24,0.0,0.0,0.0,0.0
Czechia,1990,10.3,120.1,11.667,2.053,71.1,62.33,0.206,0.003,0.209,20.314
Czechia,1991,10.3,106.2,10.313,1.815,71.63,62.73,0.101,0.004,0.104,10.114
Czechia,1992,10.3,105.6,10.26,1.806,72.01,63.03,0.162,0.004,0.166,16.09
Czechia,1993,10.3,105.7,10.266,1.807,72.62,63.51,0.069,0.003,0.072,7.031
Czechia,1994,10.3,108.8,10.57,1.86,72.89,63.73,0.026,0.005,0.031,3.0
Czechia,1995,10.3,115.9,11.272,1.984,73.06,63.88,0.18,0.014,0.194,18.859
Czechia,1996,10.3,120.8,11.769,2.071,73.73,64.42,0.031,0.019,0.05,4.855
Czechia,1997,10.3,120.2,11.721,2.063,73.87,64.55,0.192,0.023,0.215,21.003
Czechia,1998,10.2,119.8,11.687,2.057,74.52,65.09,0.082,0.019,0.101,9.822
Czechia,1999,10.2,121.4,11.853,2.086,74.83,65.36,0.056,0.01,0.066,6.469
Czechia,2000,10.2,126.3,12.329,2.17,75.03,65.53,0.096,-0.003,0.093,9.071
Czechia,2001,10.2,130.1,12.701,2.235,75.32,65.74,0.081,-0.022,0.059,5.783
Czechia,2002,10.2,132.2,12.894,2.269,75.52,65.85,-0.045,-0.028,-0.073,-7.091
Czechia,2003,10.3,136.9,13.345,2.348,75.45,65.76,0.206,-0.021,0.185,17.994
Czechia,2004,10.3,143.5,13.969,2.458,75.99,66.13,0.1,-0.011,0.089,8.678
Czechia,2005,10.3,152.9,14.861,2.615,76.28,66.32,0.227,0.003,0.23,22.356
Czechia,2006,10.3,163.3,15.823,2.784,76.81,66.71,0.108,0.005,0.113,10.996
Czechia,2007,10.4,172.4,16.644,2.929,77.06,66.89,0.066,0.005,0.071,6.868
Czechia,2008,10.4,177.0,17.023,2.996,77.24,67.03,0.126,0.003,0.129,12.392
Czechia,2009,10.4,168.8,16.168,2.845,77.51,67.23,0.1,-0.004,0.095,9.121
Czechia,2010,10.5,172.9,16.508,2.905,77.75,67.4,0.087,-0.013,0.074,7.023
Czechia,2011,10.5,175.9,16.756,2.949,77.95,67.53,0.11,-0.019,0.091,8.711
Czechia,2012,10.5,174.6,16.591,2.92,78.2,67.7,0.107,-0.021,0.086,8.142
Czechia,2013,10.5,174.5,16.553,2.913,78.45,67.86,0.181,-0.018,0.162,15.415
Czechia,2014,10.6,178.4,16.896,2.973,78.85,68.12,0.021,-0.017,0.004,0.382
Czechia,2015,10.6,188.0,17.772,3.127,78.9,68.15,0.094,-0.02,0.074,6.954
Czechia,2016,10.6,192.8,18.189,3.201,79.05,68.21,0.055,-0.019,0.037,3.477
Czechia,2017,10.6,202.8,19.096,3.36,79.17,68.27,-0.012,0.008,-0.004,-0.381
Czechia,2018,10.6,209.3,19.678,3.463,79.21,68.32,0.082,0.04,0.122,11.445
Czechia,2019,10.6,215.6,20.256,3.565,79.38,68.51,0.0,0.0,0.0,0.0
Denmark,1990,5.1,202.0,39.27,6.911,74.87,64.94,0.093,0.003,0.096,18.661
Denmark,1991,5.2,204.8,39.73,6.992,75.08,65.11,-0.001,0.001,0.0,0.059
Denmark,1992,5.2,208.8,40.396,7.109,75.18,65.21,-0.015,-0.0,-0.016,-3.033
Denmark,1993,5.2,208.9,40.268,7.086,75.29,65.31,-0.035,-0.002,-0.037,-7.223
Denmark,1994,5.2,220.0,42.258,7.437,75.24,65.27,0.049,0.005,0.055,10.478
Denmark,1995,5.2,226.7,43.363,7.631,75.38,65.39,0.191,0.001,0.192,36.655
Denmark,1996,5.2,233.2,44.429,7.819,75.69,65.63,0.221,0.006,0.227,43.228
Denmark,1997,5.3,240.8,45.679,8.039,76.08,65.92,0.238,0.011,0.249,47.241
Denmark,1998,5.3,246.2,46.493,8.182,76.47,66.22,0.016,0.004,0.02,3.746
Denmark,1999,5.3,253.4,47.67,8.389,76.52,66.26,0.314,0.019,0.333,62.565
Denmark,2000,5.3,262.9,49.269,8.67,76.96,66.61,0.072,0.017,0.088,16.577
Denmark,2001,5.4,265.1,49.502,8.711,77.09,66.73,0.071,0.028,0.099,18.438
Denmark,2002,5.4,266.3,49.581,8.725,77.22,66.85,0.184,0.032,0.216,40.198
Denmark,2003,5.4,267.4,49.632,8.734,77.48,67.07,0.22,0.036,0.257,47.682
Denmark,2004,5.4,274.5,50.807,8.941,77.8,67.33,0.243,0.03,0.273,50.457
Denmark,2005,5.4,280.9,51.829,9.121,78.15,67.62,0.105,0.014,0.119,21.998
Denmark,2006,5.4,291.9,53.667,9.444,78.36,67.79,0.134,0.014,0.148,27.135
Denmark,2007,5.5,294.6,53.943,9.493,78.51,67.91,0.22,0.021,0.241,44.14
Denmark,2008,5.5,293.1,53.433,9.403,78.8,68.14,0.142,0.015,0.157,28.542
Denmark,2009,5.5,278.7,50.578,8.901,79.07,68.36,0.207,0.017,0.224,40.593
Denmark,2010,5.5,283.9,51.289,9.026,79.37,68.61,0.302,0.019,0.321,58.012
Denmark,2011,5.6,287.7,51.74,9.105,79.79,68.94,0.213,0.007,0.221,39.669
Denmark,2012,5.6,288.3,51.624,9.085,80.1,69.17,0.189,0.003,0.193,34.493
Denmark,2013,5.6,291.0,51.861,9.126,80.35,69.37,0.217,0.008,0.225,40.145
Denmark,2014,5.6,295.7,52.429,9.226,80.61,69.56,0.137,0.012,0.149,26.368
Denmark,2015,5.7,302.7,53.349,9.388,80.81,69.72,0.022,0.012,0.034,6.067
Denmark,2016,5.7,312.5,54.748,9.634,80.85,69.76,0.022,0.002,0.023,4.087
Denmark,2017,5.7,321.3,55.96,9.848,80.89,69.79,0.023,-0.024,-0.001,-0.152
Denmark,2018,5.8,327.7,56.761,9.989,80.93,69.8,0.03,-0.057,-0.027,-4.644
Denmark,2019,5.8,334.6,57.669,10.148,80.98,69.79,0.0,0.0,0.0,0.0
European Union,1990,478.8,9047.2,18.895,3.325,74.53,64.71,2.476,0.38,2.856,5.965
European Union,1991,480.0,9215.4,19.2,3.379,74.7,64.85,4.167,0.44,4.607,9.599
European Union,1992,481.1,9322.3,19.378,3.41,74.93,65.05,3.164,0.379,3.542,7.363
European Union,1993,482.0,9268.8,19.228,3.384,75.14,65.22,4.467,0.394,4.861,10.084
European Union,1994,482.8,9514.6,19.706,3.468,75.33,65.38,3.038,0.53,3.568,7.39
European Union,1995,483.6,9767.9,20.2,3.555,75.55,65.57,6.112,0.234,6.346,13.122
European Union,1996,484.3,9951.6,20.548,3.616,75.83,65.79,6.378,0.392,6.77,13.979
European Union,1997,485.1,10215.6,21.058,3.706,76.13,66.04,5.761,0.372,6.133,12.643
European Union,1998,486.1,10523.2,21.65,3.81,76.4,66.26,6.285,0.419,6.704,13.793
European Union,1999,487.2,10833.4,22.238,3.913,76.67,66.48,10.219,0.552,10.771,22.11
European Union,2000,488.5,11255.9,23.041,4.055,77.06,66.78,7.212,0.396,7.608,15.574
European Union,2001,490.1,11500.7,23.466,4.13,77.33,66.99,4.635,0.329,4.964,10.128
European Union,2002,491.8,11628.3,23.646,4.161,77.53,67.15,4.655,0.066,4.721,9.6
European Union,2003,493.5,11733.9,23.775,4.184,77.72,67.3,11.837,0.514,12.351,25.026
European Union,2004,495.4,12038.0,24.297,4.276,78.13,67.61,6.756,0.445,7.201,14.534
